,Closest to Mean,Closest to Mean,Closest to Mean,Underestimation,Underestimation,Underestimation,Overestimation,Overestimation,Overestimation
,LETKF,LETKF T2 %,LETKF T3 %,LETKF,LETKF T2 %,LETKF T3 %,LETKF,LETKF T2 %,LETKF T3 %
Q Graupel,1.4497515672157275,-6.644711127022414,-6.684454893296329,2.4868948043489048,-11.971070548942473,-18.23527094339255,1.9850790314814868,-0.2076644553039673,1.8235336880242963
Q Rain,0.47169581721892523,-10.468517560138803,-11.146633075260896,0.8768461485941633,-21.520011433323365,-28.346070555184017,0.9964374675212215,-2.119105526948905,-1.7994566449630132
Q Snow,0.43232055167915767,-0.18920949575113322,0.18387906993896977,0.5559755118993065,-1.2366437715195957,-8.803024285090107,0.6219246447177276,4.76191553953412,7.639098480461589
Temperature,1.3070277767361838,2.3738866233727838,2.4439183662046076,1.153733156203709,-7.364274775781007,-8.232037158344683,1.811030360511566,2.675197714304926,2.6984986890468763
Pressure,0.6316431045011737,-0.24255126985212463,-0.3040503656628245,0.8432022682478238,-26.593080947810567,-34.114851810050666,1.1569201210978233,1.5184811970373047,0.9241620856774888
u,7.870727788572954,-0.3175664867491431,-0.3223613568824745,9.275128071678116,-2.3194538108794185,-5.770676086133321,6.180040521557201,-2.790501551498478,-3.3300322262266264
v,11.563480029554354,1.6775018822270344,2.0776625376390285,8.709956306160283,-0.988435868104972,-1.8722965647791812,6.672534070548073,-1.2666211354107904,-1.8421389797346217
w,2.4676903550446734,-0.740039019286144,-0.7169611495357475,2.5698611833288885,-22.53566657304076,-32.54177420815364,5.188701798656084,-1.1725138067847962,-1.213551791510808
